gen_id,fuel_type,capacity_MW,capex_per_MW,CapEx_total,opex_nonfuel_per_MW,OpEx_nonfuel_total,payback_years,CapEx_per_year
G16,battery,1000,700000,700000000,17500,17500000,15,46666666.67
G18,battery,500,700000,350000000,17500,8750000,15,23333333.33
G5,battery,500,700000,350000000,17500,8750000,15,23333333.33
G8,battery,1000,700000,700000000,17500,17500000,15,46666666.67
G9,battery,1000,700000,700000000,17500,17500000,15,46666666.67
G15,gas,8000,850000,6800000000,20000,160000000,15,453333333.3
G17,gas,15000,850000,12750000000,20000,300000000,15,850000000
G3,gas,12000,850000,10200000000,20000,240000000,15,680000000
G1,nuclear,2400,7000000,16800000000,160000,384000000,40,420000000
G19,nuclear,1200,7000000,8400000000,160000,192000000,40,210000000
G2,nuclear,2405,7000000,16835000000,160000,384800000,40,420875000
G4,nuclear,1200,7000000,8400000000,160000,192000000,40,210000000
G6,nuclear,1170,7000000,8190000000,160000,187200000,40,204750000
G7,nuclear,1200,7000000,8400000000,160000,192000000,40,210000000
G0,wind,1675.307972,1900000,3183085146,50000,83765398.59,20,159154257.3
G10,wind,6701.231885,1900000,12732340581,50000,335061594.2,20,636617029.1
G11,wind,6701.231885,1900000,12732340581,50000,335061594.2,20,636617029.1
G12,wind,3350.615942,1900000,6366170291,50000,167530797.1,20,318308514.5
G13,wind,6701.231885,1900000,12732340581,50000,335061594.2,20,636617029.1
G14,wind,3350.615942,1900000,6366170291,50000,167530797.1,20,318308514.5
G20,wind,5025.923914,1900000,9549255437,50000,251296195.7,20,477462771.8
